sep=|
248|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
249|-2,000000|-0,000000
250|-0,000000|-0,000000
251|-0,000000|-0,000000
252|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
253|0,000000|0,000000
254|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
255|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
256|-0,000000|-26815634961535350482339691733198203046756145382179980962166505820595986601082122117359123857062939519208307363125216932019230402241670568834786317305905152,000000
257|0,000000|0,000000
258|-0,000000|-2,000000
259|-0,000000|-2,000000
260|2,000000|-0,000000
261|-2,000000|-0,000000
262|2,000000|-0,000000
263|2,000000|-0,000000
264|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-26815622175479033777305928741422415146118251121240995862015936451099390574316173878991200897949883575779189498930727335847632803090797408828840713482403840,000000
265|-2,000000|-0,000000
266|0,000000|0,000000
267|0,000000|0,000000
268|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-26815622175479033777305928741422415146118251121240995862015936451099390574316173878991200897949883575779189498930727335847632803090797408828840713482403840,000000
269|2,000000|0,000000
270|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-26815622175479033777305928741422415146118251121240995862015936451099390574316173878991200897949883575779189498930727335847632803090797408828840713482403840,000000
271|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-26815622175479033777305928741422415146118251121240995862015936451099390574316173878991200897949883575779189498930727335847632803090797408828840713482403840,000000
272|-0,000000|0,000000
273|-2,000000|0,000000
274|-0,000000|2,000000
275|-0,000000|2,000000
276|-0,000000|-0,000000
277|-0,000000|0,000000
278|-0,000000|-0,000000
279|-0,000000|-0,000000
280|-0,000000|0,000000
